Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,DayOfWeek,3_day_avg,7_day_avg,volatility,price_change,RSI,MACD,OBV
1.866667,1.905333,1.86,1.882667,1.882667,33718500,2011,1,7,4,1.8433336666666669,1.803524,0.045332999999999846,0.02400000000000002,38.46152139278315,-0.05081729271083435,-287982000.0
1.878,1.912,1.87,1.896667,1.896667,20140500,2011,1,10,0,1.8793336666666667,1.8220954285714286,0.041999999999999815,0.014000000000000012,37.86410594780133,-0.044356604672309397,-267841500.0
1.906,1.914,1.794667,1.797333,1.797333,25653000,2011,1,11,1,1.8588890000000002,1.825238285714286,0.11933299999999991,-0.09933400000000003,31.494365568691062,-0.0467134034492791,-293494500.0
1.800667,1.826667,1.768,1.797333,1.797333,14466000,2011,1,12,2,1.8304443333333333,1.8284762857142858,0.058667000000000025,0.0,29.67741935483872,-0.04802755173950546,-293494500.0
1.797333,1.798,1.744,1.748,1.748,10854000,2011,1,13,3,1.7808886666666668,1.8241905714285716,0.05400000000000005,-0.04933300000000007,34.0740740740741,-0.05244522858524436,-304348500.0
1.743333,1.772,1.707333,1.716667,1.716667,17880000,2011,1,14,4,1.7540000000000002,1.8139048571428573,0.06466700000000003,-0.031333000000000055,51.237687175355404,-0.057808203565977045,-322228500.0
1.698667,1.709333,1.65,1.709333,1.709333,24325500,2011,1,18,1,1.7246666666666666,1.7925714285714285,0.05933300000000008,-0.007333999999999952,44.74753717262916,-0.06193623007719529,-346554000.0
1.684667,1.698,1.583333,1.602,1.602,35572500,2011,1,19,2,1.676,1.752476142857143,0.11466699999999985,-0.1073329999999999,25.721704176583042,-0.07302678953667163,-382126500.0
1.602,1.63,1.491333,1.508,1.508,34198500,2011,1,20,3,1.6064443333333334,1.6969522857142856,0.13866699999999987,-0.09400000000000008,25.128125246394724,-0.08838233567117104,-416325000.0
1.541333,1.572667,1.514,1.536,1.536,18255000,2011,1,21,4,1.5486666666666666,1.659619,0.058667000000000025,0.028000000000000025,27.81213090984606,-0.09717220987146358,-398070000.0
1.568667,1.654,1.548667,1.632667,1.632667,24676500,2011,1,24,0,1.558889,1.6360952857142856,0.1053329999999999,0.09666700000000006,38.82477562982621,-0.09524016020079307,-373393500.0
1.643333,1.659333,1.601333,1.645333,1.645333,19072500,2011,1,25,1,1.6046666666666667,1.6214285714285714,0.05800000000000005,0.012665999999999844,39.710424141455974,-0.09163069495795084,-354321000.0
1.647333,1.658667,1.606667,1.65,1.65,16198500,2011,1,26,2,1.6426666666666667,1.6119047142857144,0.051999999999999824,0.004666999999999977,39.144029674306005,-0.08738624560862496,-338122500.0
1.649333,1.672,1.635333,1.661333,1.661333,13435500,2011,1,27,3,1.6522219999999999,1.6050475714285715,0.036667000000000005,0.011333000000000037,32.98844827586206,-0.08216091069837073,-324687000.0
1.658667,1.658667,1.583333,1.600667,1.600667,15726000,2011,1,28,4,1.6373333333333333,1.6048571428571428,0.07533399999999979,-0.06066599999999989,27.135110416335586,-0.08197013365246386,-340413000.0
1.603333,1.608,1.566667,1.606667,1.606667,12454500,2011,1,31,0,1.622889,1.6189524285714287,0.041333000000000064,0.006000000000000005,26.17741092816092,-0.08040789940108417,-327958500.0
